Designator,Footprint,Quantity,Value,LCSC Part #
A1,Potentiometer_Bourns_3266Y_Vertical,1,100K,
"B1, C1",Potentiometer_Bourns_3266Y_Vertical,2,10K,
"C10, C8, C9",C_Disc_D10.5mm_W5.0mm_P10.00mm,3,1nF,
C13,C_Disc_D10.5mm_W5.0mm_P10.00mm,1,100nF,
"C5, C6",C_Disc_D10.5mm_W5.0mm_P10.00mm,2,10nF,
C7,C_Disc_D12.5mm_W5.0mm_P7.50mm,1,820pF_styrene,
"D1, D2",D_DO-35_SOD27_P7.62mm_Horizontal,2,1N4148,
J1,PinHeader_1x01_P2.54mm_Vertical,1,rv4_pin2,
J10,PinHeader_1x01_P2.54mm_Vertical,1,pos_hard_sync_in,
J11,PinHeader_1x01_P2.54mm_Vertical,1,rv4_pin3,
J12,PinHeader_1x01_P2.54mm_Vertical,1,square_out_jack,
J13,PinHeader_1x01_P2.54mm_Vertical,1,saw_out_jack,
J14,PinHeader_1x01_P2.54mm_Vertical,1,soft_sync_in_jack,
J15,PinHeader_1x01_P2.54mm_Vertical,1,triangle_ouput_jack,
J16,PinHeader_1x01_P2.54mm_Vertical,1,1v_oct_in_2_jack,
J17,PinHeader_1x03_P2.54mm_Vertical,1,power output,
J2,PinHeader_1x01_P2.54mm_Vertical,1,to_rv3_pot,
J3,PinHeader_1x01_P2.54mm_Vertical,1,to_rv2,
J4,PinHeader_1x01_P2.54mm_Vertical,1,to_s1_switch,
J5,PinHeader_1x01_P2.54mm_Vertical,1,to_rv5_pot,
J6,PinHeader_1x01_P2.54mm_Vertical,1,1v_oct_in_1_jack,
J7,Samtec_HPM-03-01-x-S_Straight_1x03_Pitch5.08mm,1,power input,
J8,PinHeader_1x01_P2.54mm_Vertical,1,external_pulse_width_mod_cv_in_jack,
J9,PinHeader_1x01_P2.54mm_Vertical,1,neg_hard_sync_in_jack,
R1,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,24K,
"R10, R12",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,1M,
R11,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,1.2M,
"R13, R9",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,470R,
"R14, R15, R28, R29, R31, R32, R33, R5, R6",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,9,100K,
"R16, R17, R25, R27",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,4,1K,
R18,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,20K,
"R19, R20, R21",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,3,47K,
R2,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,5.6K,
R22,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,2K,
R23,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,680R,
"R24, R26",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,10K,
R3,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,1.8K,
R4,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,270K,
R7,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,300K,
R8,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,3.3M,
U1,DIP-16_W7.62mm_LongPads,1,AS3340,
U2,DIP-14_W7.62mm_LongPads,1,TL074,
U3,DIP-8_W7.62mm_LongPads,1,TL072,
ZD1,D_5W_P12.70mm_Horizontal,1,10V Zener Diode,
